FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2013,Rural_Urban_Continuum_Code_2023,Urban_Influence_Code_2013,Metro_2013,Civilian_labor_force_2021,Unemployment_rate_2021,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021,POVALL_2021,PCTPOVALL_2021,"Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22"
01059,AL,"Franklin County, AL",6,6,6,Non-metro,"14,352",2.5,"45,440",84.2,5995,18.9,19.90070723,40.14331881,25.12762868,14.82834528
01061,AL,"Geneva County, AL",3,3,2,Metro,"11,069",2.8,"43,206",80.0,5566,21.1,16.59993678,36.66631546,32.82056685,13.91318091
01063,AL,"Greene County, AL",8,2,6,Non-metro,"2,900",6.5,"30,225",56.0,2520,33.2,18.11341531,37.12607818,28.04184254,16.71866398
01065,AL,"Hale County, AL",3,2,2,Metro,"5,913",5.5,"41,995",77.8,3221,22.1,19.42885772,37.75551102,26.44288577,16.37274549
01067,AL,"Henry County, AL",3,3,2,Metro,"6,930",3.2,"56,389",104.4,2694,15.6,18.46986705,32.80789746,27.76052862,20.96170687
01069,AL,"Houston County, AL",3,3,2,Metro,"47,193",3.3,"48,701",90.2,20210,19.1,12.38495533,31.99626992,33.15854202,22.46023272
01071,AL,"Jackson County, AL",6,6,5,Non-metro,"23,072",2.8,"46,998",87.0,9851,18.9,17.96525923,37.3952357,28.45094255,16.18856251
01073,AL,"Jefferson County, AL",1,1,1,Metro,"320,324",3.5,"55,210",102.3,110131,16.9,8.936607553,26.10023835,29.39165992,35.57149417
01075,AL,"Lamar County, AL",8,8,7,Non-metro,"5,708",3.0,"44,265",82.0,2300,17,17.93005862,40.86314938,30.96826359,10.2385284
01077,AL,"Lauderdale County, AL",3,3,2,Metro,"42,365",3.1,"52,222",96.7,14838,16.2,11.2121306,34.85998389,28.10234806,25.82553745
01079,AL,"Lawrence County, AL",3,3,2,Metro,"14,503",2.9,"55,555",102.9,4566,13.9,17.3353778,41.14490161,25.73898969,15.7807309
01081,AL,"Lee County, AL",3,3,2,Metro,"77,205",2.8,"54,188",100.4,30989,18,8.287886145,21.7343394,29.81491166,40.1628628
01083,AL,"Limestone County, AL",2,2,2,Metro,"46,983",2.4,"69,207",128.2,10363,9.9,12.67329985,27.81009211,29.98617707,29.53043097
01085,AL,"Lowndes County, AL",2,2,2,Metro,"3,586",8.7,"36,993",68.5,2786,28.3,16.67377399,41.57782516,25.42999289,16.31840796
01087,AL,"Macon County, AL",6,3,6,Non-metro,"7,937",5.8,"35,354",65.5,4725,27.5,17.28114478,31.67508418,30.48821549,20.55555556
01089,AL,"Madison County, AL",2,2,2,Metro,"193,877",2.6,"78,386",145.2,39316,10.2,7.775387666,19.03181759,28.10721835,45.0855764
01091,AL,"Marengo County, AL",7,6,11,Non-metro,"7,643",4.2,"42,048",77.9,4602,24.6,10.89482188,35.6466877,31.49957683,21.9589136
01093,AL,"Marion County, AL",7,9,11,Non-metro,"13,488",2.8,"44,636",82.7,5209,18.3,19.37936012,35.48713014,33.30286264,11.8306471
01095,AL,"Marshall County, AL",4,4,5,Non-metro,"44,898",2.4,"50,858",94.2,15145,15.6,15.63351027,31.90553119,31.03931072,21.42164782
01097,AL,"Mobile County, AL",2,2,2,Metro,"190,714",4.6,"49,848",92.3,74061,18.2,11.8663084,34.14645476,29.77903869,24.20819815
01099,AL,"Monroe County, AL",7,8,11,Non-metro,"7,368",5.5,"40,997",75.9,4349,22.3,16.30553732,44.02859853,26.15451959,13.51134457
01101,AL,"Montgomery County, AL",2,2,2,Metro,"107,330",4.7,"50,645",93.8,47309,21.7,12.03232921,25.63093462,28.65915664,33.67757954
01103,AL,"Morgan County, AL",3,3,2,Metro,"59,785",2.6,"56,340",104.4,16459,13.5,14.76895162,30.79152626,30.59240757,23.84711455
01105,AL,"Perry County, AL",8,8,4,Non-metro,"3,206",7.9,"31,522",58.4,2591,33.7,20.4177644,42.90553256,21.45276628,15.22393677
01107,AL,"Pickens County, AL",3,2,2,Metro,"7,545",4.0,"43,926",81.4,3591,21.1,15.05297234,41.11241907,29.32607416,14.50853443
01109,AL,"Pike County, AL",6,6,5,Non-metro,"16,084",3.2,"38,945",72.1,7429,23.9,12.10101536,36.22494142,23.96250976,27.71153345
01111,AL,"Randolph County, AL",6,8,4,Non-metro,"9,490",2.7,"45,889",85.0,4652,21.5,17.98386064,34.85974126,28.35276034,18.80363776
01113,AL,"Russell County, AL",2,2,2,Metro,"23,440",3.0,"44,849",83.1,12620,21.7,14.80886927,29.58262265,39.24450687,16.3640012
01115,AL,"St. Clair County, AL",1,1,1,Metro,"41,602",2.6,"63,015",116.7,11652,12.8,12.71329603,35.51601754,32.44269485,19.32799157
01117,AL,"Shelby County, AL",1,1,1,Metro,"119,405",2.1,"85,457",158.3,17306,7.7,6.207165869,20.15099743,28.0380097,45.603827
01119,AL,"Sumter County, AL",8,8,6,Non-metro,"4,549",4.4,"29,490",54.6,4005,35.1,11.19118847,32.21376122,34.8381833,21.75686701
01121,AL,"Talladega County, AL",4,4,3,Non-metro,"35,915",4.1,"47,331",87.7,14936,19.1,16.78744382,34.89704909,31.71271296,16.60279413
01123,AL,"Tallapoosa County, AL",6,6,6,Non-metro,"17,982",4.0,"47,444",87.9,7420,18.3,18.1209189,32.11760328,31.61010928,18.15136854
01125,AL,"Tuscaloosa County, AL",3,2,2,Metro,"101,686",3.5,"56,274",104.2,31735,14.7,9.359744715,29.41271776,30.35101684,30.87652069
01127,AL,"Walker County, AL",1,1,1,Metro,"25,324",3.6,"46,343",85.8,12877,20.2,17.33398114,34.83138623,32.54565933,15.2889733
01129,AL,"Washington County, AL",8,8,7,Non-metro,"6,547",4.6,"49,795",92.2,3091,20.6,11.73333333,43.81904762,30.22857143,14.21904762
01131,AL,"Wilcox County, AL",9,9,10,Non-metro,"2,631",10.5,"30,071",55.7,3340,32.4,22.29452539,40.38760787,25.70377705,11.61408969
01133,AL,"Winston County, AL",6,8,4,Non-metro,"10,116",2.7,"47,176",87.4,4455,19,19.9611719,40.35180609,25.8618661,13.8251559
02013,AK,"Aleutians East Borough, AK",9,9,12,Non-metro,"2,443",2.5,"71,492",91.1,625,18.4,18.99065421,39.36448598,24.71028037,16.93457944
02016,AK,"Aleutians West Census Area, AK",9,9,11,Non-metro,"3,516",3.8,"86,050",109.7,505,10.4,10.46361046,41.33644134,32.76353276,15.43641544
02020,AK,"Anchorage Borough/municipality, AK",2,2,2,Metro,"149,953",5.9,"86,152",109.8,26920,9.5,5.820611679,24.50195891,32.64312511,37.0343043
02050,AK,"Bethel Census Area, AK",7,7,11,Non-metro,"6,884",13.1,"54,849",69.9,4496,24.6,17.26184588,47.85834405,25.18547829,9.694331784
02060,AK,"Bristol Bay Borough, AK",9,9,12,Non-metro,446,5.6,"88,516",112.8,93,11.3,5.031446541,28.30188679,40.40880503,26.25786164
02068,AK,"Denali Borough, AK",8,9,7,Non-metro,811,10.5,"85,251",108.7,115,7.5,3.345280765,46.8339307,24.67144564,25.14934289
02070,AK,"Dillingham Census Area, AK",9,9,12,Non-metro,"1,688",8.3,"58,389",74.4,1033,21.8,11.88835286,41.55754652,26.0854583,20.46864232
02090,AK,"Fairbanks North Star Borough, AK",3,3,2,Metro,"45,067",5.2,"76,754",97.9,7247,7.9,5.331703341,25.28443358,36.43846781,32.94539527
02100,AK,"Haines Borough, AK",9,9,12,Non-metro,"1,032",11.2,"63,155",80.5,223,10.8,2.323943662,34.43661972,29.57746479,33.66197183
02105,AK,"Hoonah-Angoon Census Area, AK",9,9,10,Non-metro,"1,152",9.3,"56,555",72.1,395,17,5.98476605,33.62350381,32.86180631,27.52992383
02110,AK,"Juneau Borough/city, AK",5,5,8,Non-metro,"16,801",4.8,"89,922",114.6,2378,7.6,4.558330065,22.09874929,32.60556936,40.73735129
02122,AK,"Kenai Peninsula Borough, AK",7,7,11,Non-metro,"27,777",7.3,"71,111",90.7,6729,11.5,5.772601753,30.82963141,35.43042382,27.96734302
02130,AK,"Ketchikan Gateway Borough, AK",7,7,8,Non-metro,"6,567",7.4,"73,260",93.4,1529,11.3,5.258891478,28.51352721,37.73431959,28.49326173
02150,AK,"Kodiak Island Borough, AK",7,7,11,Non-metro,"5,974",6.6,"80,863",103.1,1072,8.5,8.767662729,29.03636785,33.72712532,28.4688441
02158,AK,"Kusilvak Census Area, AK",9,9,12,Non-metro,"2,364",19.5,"38,203",48.7,2534,30.4,18.5834156,55.67620928,21.15004936,4.590325765
02164,AK,"Lake and Peninsula Borough, AK",9,9,12,Non-metro,654,8.7,"51,205",65.3,290,20.6,9.216589862,45.00768049,30.26113671,15.51459293
02170,AK,"Matanuska-Susitna Borough, AK",2,2,2,Metro,"49,399",6.9,"80,164",102.2,11453,10.5,5.777018033,33.172666,37.39578809,23.65452788
02180,AK,"Nome Census Area, AK",7,9,11,Non-metro,"4,038",9.7,"65,578",83.6,1920,19.8,11.7721064,43.40402588,26.50970525,18.31416247
02185,AK,"North Slope Borough, AK",7,9,11,Non-metro,"2,906",6.5,"95,041",121.2,1354,12.4,9.327720037,43.0469675,33.42981187,14.19550059
02188,AK,"Northwest Arctic Borough, AK",7,9,11,Non-metro,"2,867",11.5,"67,586",86.2,1560,20.9,13.94799054,46.19385343,24.70449173,15.1536643
02195,AK,"Petersburg Borough, AK",9,9,11,Non-metro,"1,607",7.0,"71,878",91.6,269,8,13.04690579,31.80922349,30.35080804,24.79306267
02198,AK,"Prince of Wales-Hyder Census Area, AK",9,9,10,Non-metro,"2,785",8.2,"56,226",71.7,859,15,7.540351722,36.3526861,36.71404481,19.39291737
02220,AK,"Sitka Borough/city, AK",7,7,11,Non-metro,"4,457",4.6,"78,248",99.8,717,8.6,4.776807775,25.76181848,35.26601878,34.19535497
02230,AK,"Skagway Municipality, AK",9,9,12,Non-metro,641,13.6,"65,712",83.8,69,6.1,7.319587629,34.02061856,30.82474227,27.83505155
02240,AK,"Southeast Fairbanks Census Area, AK",9,9,12,Non-metro,"3,220",6.6,"68,347",87.1,890,12.9,6.263784738,36.6122629,37.34009704,19.78385532
02275,AK,"Wrangell Borough/city, AK",9,9,12,Non-metro,942,7.5,"64,732",82.5,231,11.3,12.89288005,33.41885824,35.66388711,18.0243746
02282,AK,"Yakutat Borough/city, AK",9,9,12,Non-metro,311,7.1,"73,014",93.1,86,12.2,6.04534005,43.5768262,39.5465995,10.83123426
02290,AK,"Yukon-Koyukuk Census Area, AK",9,8,12,Non-metro,"2,431",12.3,"44,934",57.3,1240,23.7,12.98174442,38.88727905,33.99014778,14.14082875
04001,AZ,"Apache County, AZ",6,8,6,Non-metro,"18,917",9.2,"41,002",59.5,18422,28.4,15.99005211,32.45381336,37.77356703,13.7825675
04003,AZ,"Cochise County, AZ",3,3,2,Metro,"49,009",5.1,"55,748",80.8,20618,17.1,11.08705264,25.14198909,37.07474125,26.69621703
04005,AZ,"Coconino County, AZ",3,3,2,Metro,"71,853",6.2,"63,829",92.6,22677,16.9,8.548902818,21.04442982,30.81345015,39.59321721
04007,AZ,"Gila County, AZ",4,4,3,Non-metro,"20,440",5.2,"52,665",76.4,8900,16.8,12.85509036,30.56234719,38.49721473,18.08534772
04009,AZ,"Graham County, AZ",7,7,8,Non-metro,"15,730",4.3,"52,644",76.3,7385,20.4,15.37640588,30.41622199,40.25531566,13.95205648
04011,AZ,"Greenlee County, AZ",7,9,9,Non-metro,"4,364",4.1,"71,669",103.9,886,9.5,14.05876324,32.38811069,36.88076529,16.67236078
04012,AZ,"La Paz County, AZ",6,6,4,Non-metro,"8,622",5.3,"44,330",64.3,3303,20.3,17.3870185,32.84046103,37.39005156,12.38246891
04013,AZ,"Maricopa County, AZ",1,1,1,Metro,"2,320,686",4.6,"76,230",110.5,502224,11.3,10.82446359,22.07798903,32.1126869,34.98486048
04015,AZ,"Mohave County, AZ",3,3,2,Metro,"87,413",5.7,"48,169",69.8,38383,18,12.22474269,34.44200442,38.92696406,14.40628884
04017,AZ,"Navajo County, AZ",4,4,5,Non-metro,"39,418",6.6,"49,057",71.1,26324,24.8,14.35754348,29.85099994,38.50065152,17.29080505
04019,AZ,"Pima County, AZ",2,1,2,Metro,"483,156",5.1,"60,604",87.9,151169,14.7,10.52800127,21.45233649,33.03557512,34.98408713
04021,AZ,"Pinal County, AZ",1,1,1,Metro,"193,183",4.9,"70,835",102.7,45630,10.7,11.53612569,30.71723273,36.34188203,21.40475955
04023,AZ,"Santa Cruz County, AZ",4,6,5,Non-metro,"18,914",8.8,"49,216",71.4,9723,20.4,22.02673258,25.35692218,29.11314189,23.50320336
04025,AZ,"Yavapai County, AZ",3,3,2,Metro,"105,227",4.3,"57,676",83.6,29766,12.5,7.853638704,25.39747933,38.06911506,28.67976691
04027,AZ,"Yuma County, AZ",3,3,2,Metro,"93,648",13.1,"55,991",81.2,34270,17.3,23.81162676,26.43545133,33.32927247,16.42364945
05001,AR,"Arkansas County, AR",6,6,6,Non-metro,"9,351",3.4,"50,928",96.9,2923,17.7,14.02977542,42.4678274,27.72310539,15.77929178
05003,AR,"Ashley County, AR",7,7,11,Non-metro,"6,769",7.3,"44,030",83.7,3950,21.3,14.12796854,48.43442747,25.85841779,11.5791862
05005,AR,"Baxter County, AR",7,7,8,Non-metro,"16,239",3.8,"45,116",85.8,5565,13.4,10.3745857,35.16665624,36.29854293,18.16021512
05007,AR,"Benton County, AR",2,2,2,Metro,"144,313",2.8,"78,974",150.2,22890,7.9,9.875541556,28.78346776,25.83294887,35.50804181
05009,AR,"Boone County, AR",7,7,8,Non-metro,"15,757",3.0,"48,700",92.6,4860,13,9.394516375,34.91241432,39.06321401,16.62985529
05011,AR,"Bradley County, AR",7,7,9,Non-metro,"4,072",4.8,"40,454",76.9,2011,19.6,14.15904293,47.10767065,26.19282196,12.54046446
05013,AR,"Calhoun County, AR",9,9,8,Non-metro,"2,374",3.4,"49,977",95.1,672,14.6,14.70248411,45.37839399,27.3830156,12.5361063
05015,AR,"Carroll County, AR",6,6,6,Non-metro,"12,657",3.5,"49,225",93.6,4717,16.8,14.21209118,35.86719524,28.47869177,21.4420218
05017,AR,"Chicot County, AR",7,9,9,Non-metro,"3,039",8.5,"34,857",66.3,2594,27.9,20.35385704,37.86270347,24.16135881,17.62208068
05019,AR,"Clark County, AR",7,7,8,Non-metro,"8,768",4.8,"47,158",89.7,3699,20,10.2704443,31.19768191,32.08306504,26.44880876
05021,AR,"Clay County, AR",7,9,9,Non-metro,"5,389",4.0,"41,419",78.8,2543,17.9,15.70295881,41.1429124,27.7702572,15.38387159
05023,AR,"Cleburne County, AR",6,6,6,Non-metro,"8,948",4.7,"50,200",95.5,4109,16.7,12.09434773,39.37244788,31.34536858,17.1878358
05025,AR,"Cleveland County, AR",3,8,2,Metro,"3,106",4.1,"53,705",102.1,1054,14.1,8.128579346,43.76501016,32.23720672,15.86920377
05027,AR,"Columbia County, AR",7,7,8,Non-metro,"8,761",5.4,"44,651",84.9,4777,23.2,11.6921559,41.49693424,27.82437099,18.98653887
05029,AR,"Conway County, AR",6,6,6,Non-metro,"8,262",4.2,"47,741",90.8,3494,16.9,10.79196299,43.20927985,26.85217151,19.14658565
05031,AR,"Craighead County, AR",3,3,2,Metro,"56,455",3.3,"52,490",99.8,19674,18.2,9.82262171,33.08716997,28.88410629,28.20610204
05033,AR,"Crawford County, AR",2,3,2,Metro,"25,890",3.6,"54,065",102.8,8790,14.7,14.53045531,34.4194875,30.7327282,20.31732899
05035,AR,"Crittenden County, AR",1,1,1,Metro,"20,399",5.5,"43,821",83.3,10706,23,14.42169305,36.34044223,31.6106241,17.62724061
05037,AR,"Cross County, AR",6,6,4,Non-metro,"6,982",4.4,"45,262",86.1,2738,16.7,16.53121217,42.69410341,24.71035795,16.06432647
05039,AR,"Dallas County, AR",6,8,6,Non-metro,"2,760",4.2,"42,442",80.7,1213,20.2,11.56069364,48.40505245,26.99636052,13.03789338
05041,AR,"Desha County, AR",6,9,6,Non-metro,"4,928",6.0,"39,042",74.3,3032,27.6,21.02457418,43.67442465,22.23377974,13.06722143
05043,AR,"Drew County, AR",6,7,6,Non-metro,"7,475",5.1,"46,572",88.6,2715,16.5,12.63524665,36.01687145,26.32495874,25.02292316
05045,AR,"Faulkner County, AR",2,2,2,Metro,"61,389",3.5,"57,573",109.5,16486,13.6,6.960229113,29.71477445,30.84608706,32.47890938
05047,AR,"Franklin County, AR",6,8,6,Non-metro,"7,273",3.8,"47,834",91.0,2908,17.2,13.75467775,42.55301455,31.39293139,12.2993763
05049,AR,"Fulton County, AR",9,9,9,Non-metro,"4,911",3.7,"41,557",79.0,2157,18,13.12586128,38.16031236,34.32475884,14.38906752
05051,AR,"Garland County, AR",3,3,2,Metro,"41,667",4.9,"48,053",91.4,14319,14.5,9.359355927,31.17087957,34.22391683,25.24584768
05053,AR,"Grant County, AR",2,2,2,Metro,"8,196",3.3,"67,088",127.6,2017,11.2,7.359822349,42.64414307,31.21579824,18.78023634
05055,AR,"Greene County, AR",4,4,5,Non-metro,"19,309",3.5,"53,920",102.6,5898,12.9,12.08233697,44.42254249,26.93401409,16.56110644
05057,AR,"Hempstead County, AR",6,6,6,Non-metro,"9,117",3.6,"41,281",78.5,4125,21.2,16.11157056,39.10232313,28.99781971,15.78828659
05059,AR,"Hot Spring County, AR",6,6,5,Non-metro,"13,854",3.9,"51,662",98.3,5521,17.8,11.46032803,39.34726501,33.68995088,15.50245608
05061,AR,"Howard County, AR",6,8,6,Non-metro,"5,460",3.3,"42,733",81.3,2245,17.9,11.58142269,42.89241623,30.54673721,14.97942387
05063,AR,"Independence County, AR",7,7,8,Non-metro,"16,356",3.9,"48,957",93.1,6924,18.9,13.15105193,38.61791821,31.12441888,17.10661098
05065,AR,"Izard County, AR",9,9,10,Non-metro,"4,412",5.5,"40,788",77.6,2384,18.4,16.75277459,34.51970915,29.79334099,18.93417528
05067,AR,"Jackson County, AR",6,6,6,Non-metro,"5,571",5.3,"37,815",71.9,3316,22.5,13.74193007,44.57952545,29.82309047,11.85545401
05069,AR,"Jefferson County, AR",3,4,2,Metro,"26,081",6.5,"46,100",87.7,12258,20.3,10.91589358,42.29389113,26.63880623,20.15140907
05071,AR,"Johnson County, AR",7,7,9,Non-metro,"9,798",4.8,"43,003",81.8,4570,18.1,19.52422396,40.98056281,24.45604874,15.03916449
05073,AR,"Lafayette County, AR",8,8,7,Non-metro,"2,314",5.8,"38,777",73.8,1448,23.7,18.94107222,48.40496234,22.04253434,10.6114311
05075,AR,"Lawrence County, AR",6,6,6,Non-metro,"6,709",4.3,"44,661",84.9,3193,20.4,17.7260274,37.543379,31.78082192,12.94977169
05077,AR,"Lee County, AR",7,8,9,Non-metro,"2,547",5.7,"29,714",56.5,2448,34.9,16.48635556,49.26529953,26.54610044,7.70224447
05079,AR,"Lincoln County, AR",3,9,2,Metro,"3,725",4.6,"45,435",86.4,2160,22.6,16.51843709,50.74447886,24.60277806,8.134305986
05081,AR,"Little River County, AR",3,3,2,Metro,"5,187",4.6,"46,619",88.7,1854,15.7,9.423648247,45.466429,29.18597742,15.92394534
05083,AR,"Logan County, AR",6,8,6,Non-metro,"8,337",4.3,"45,558",86.7,3204,15.4,11.84834123,43.67430226,30.1342812,14.3430753
05085,AR,"Lonoke County, AR",2,2,2,Metro,"33,331",3.4,"64,633",122.9,8161,11,10.13144143,37.12517083,32.81413297,19.92925476
05087,AR,"Madison County, AR",2,2,2,Metro,"7,478",3.1,"49,691",94.5,2587,15.4,15.0334649,49.47657457,23.17659173,12.3133688
05089,AR,"Marion County, AR",9,9,10,Non-metro,"6,076",4.3,"42,892",81.6,2986,17.8,12.26407767,37.21941748,35.28543689,15.23106796
05091,AR,"Miller County, AR",3,3,2,Metro,"18,760",4.9,"45,450",86.4,8483,20.4,13.31813629,38.01333195,33.06738507,15.60114669
05093,AR,"Mississippi County, AR",4,4,3,Non-metro,"16,233",7.1,"41,007",78.0,9276,23.9,17.17630014,39.94967211,28.0730517,14.80097606
05095,AR,"Monroe County, AR",7,9,9,Non-metro,"2,610",5.4,"37,113",70.6,1667,25.3,19.80716831,41.10249424,24.90044016,14.1898973
05097,AR,"Montgomery County, AR",8,8,7,Non-metro,"2,885",5.0,"41,359",78.7,1692,19.9,13.25189423,35.03943096,35.31776713,16.39090769
05099,AR,"Nevada County, AR",7,9,9,Non-metro,"3,350",4.1,"40,283",76.6,1705,21.2,10.39420187,49.79671204,28.86689058,10.94219551
05101,AR,"Newton County, AR",9,9,8,Non-metro,"3,178",3.1,"41,823",79.5,1366,19.1,15.06875477,37.10847976,33.04048892,14.78227655
05103,AR,"Ouachita County, AR",7,7,8,Non-metro,"9,647",4.0,"47,169",89.7,4437,20.2,11.8375119,39.79688988,33.41161536,14.95398286
05105,AR,"Perry County, AR",2,2,2,Metro,"4,115",4.2,"51,204",97.4,1500,15.2,8.99049217,44.50503356,31.30592841,15.19854586
05107,AR,"Phillips County, AR",6,7,3,Non-metro,"5,829",7.7,"32,419",61.7,5623,35.7,18.00374883,31.24648547,35.51077788,15.23898782
05109,AR,"Pike County, AR",9,9,10,Non-metro,"4,199",4.5,"43,710",83.1,1844,18.6,11.32763213,39.6887705,30.47805972,18.50553764
05111,AR,"Poinsett County, AR",3,3,2,Metro,"9,801",3.9,"42,639",81.1,4948,22.2,18.20683476,46.88339946,23.36490465,11.54486113
05113,AR,"Polk County, AR",7,7,11,Non-metro,"7,722",4.5,"43,166",82.1,3697,19.3,11.9635987,36.05356614,35.71322877,16.26960639
05115,AR,"Pope County, AR",5,5,8,Non-metro,"27,139",4.1,"47,049",89.5,10897,18,14.7023708,33.96116079,27.45547136,23.88099705
05117,AR,"Prairie County, AR",8,8,7,Non-metro,"3,536",3.7,"59,367",112.9,1257,15.7,14.41441441,41.97530864,27.62762763,15.98264932
05119,AR,"Pulaski County, AR",2,2,2,Metro,"185,928",4.9,"53,597",101.9,68564,17.6,7.945420917,25.29008059,29.72315439,37.0413441
05121,AR,"Randolph County, AR",7,7,9,Non-metro,"7,270",4.0,"43,484",82.7,3141,17,12.63190807,40.46744313,31.35308372,15.54756507
05123,AR,"St. Francis County, AR",6,6,3,Non-metro,"7,625",6.2,"36,781",70.0,6108,32.2,15.75779907,41.90002456,29.07148121,13.27069516
05125,AR,"Saline County, AR",2,2,2,Metro,"58,254",3.2,"68,107",129.5,10572,8.5,8.085308827,30.99755166,32.45959086,28.45754865
05127,AR,"Scott County, AR",6,8,6,Non-metro,"4,173",3.4,"39,974",76.0,1681,17.3,16.16731799,41.68475901,30.10565928,12.04226371
05129,AR,"Searcy County, AR",9,9,10,Non-metro,"2,889",4.4,"35,422",67.4,1633,20.9,18.01534705,39.1349843,27.90373212,14.94593652
