cell_type,morphology,layers,electrophysiology,previous_work,direction
Lamp5-MET-1,"small, complex dendrites, dense axon that is either isolated to L1 or crosses multiple layers; dendrite and axon overlap",All layers,"high upstroke/downstroke ratios; mix of late-spiking phenotype, as measured by  the latency to the first action potential at rheobase","L1 neurogliaform cells (NGCs) (Jiang et al., 2015; Jiang et al., 2013 ); Canopy-like NGCs (Schuman et al., 2019); L2/3-6 late spiking NGCs; me- type 17-20 (Gouwens et al., 2019)",none
Lamp5-MET-2,"small, complex dendrites, dense axon that crosses layers and overlaps with dendrites",L6 only,high upstroke/downstroke ratios; late spiking,"deep late spiking NGC, me- type 19 (Gouwens et al., 2019)",none
Pvalb-MET-1,dendrites and sparse axon in deep L5 and L6 with horizontal orientation; dendrites and axon overlap,L5/6 border only,fast spiking with more hyperpolarization-induced  sag than other Pvalb MET-types,"fast spiking basket cell (BC), nest basket cell (Markram et al., 2015); fast spiking BC, DBC, (Jiang et al., 2015; Scala et al., 2019); locally-projecting L6 BCs (Bortone et al., 2014); me-type 7 (Gouwens et al., 2019)",none
Pvalb-MET-2,"translaminar dendrites and a descending, frequently triangular-shaped axon; axons mostly restricted to L5 and/or L6",L6,fast spiking,"Basket Cell (Markram et al., 2015); Descending Cell (DC) (Jiang et al., 2015); locally- projecting L6 BCs (Bortone et al., 2014); me-type 9 (Gouwens et al., 2019)",none
Pvalb-MET-3,mix of translaminar axon and local axon with the major axon in superficial L5,"L4, superficial L5",fast spiking,"Interlaminar (Frandolig et al., 2019); basket cell (Markram et al., 2015); BC, Horizontally Extending Cell (HEC) (Jiang et al., 2015); me-type 11 (Gouwens et al., 2019)",none
Pvalb-MET-4,superficial translaminar cells with dense L2/3 axon and sparse descending branches; small number of Lamp5 ngc-like cells with similar morphology,L2/3 and L4,fast spiking,"Interlaminar (Frandolig et al., 2019); Translaminar (Bortone et al., 2014) ; me-type 16 (Gouwens et al., 2019)",none
Pvalb-MET-5,"L1 Dendrites, descending axons offet from dendrites with cartridge- like boutons",L2/3,fast spiking,"Chandelier (Woodruff and Yuste, 2008; Taniguchi et al., 2013; Inan and Anderson, 2014); me-type 21 (Gouwens et al., 2019)",none
Sncg-MET-1,bitufted and multipolar dendrites; wide translaminar axon with enriched local (somato- dendritic) axon innervation pattern; axon mostly avoids L1,L2/3-6,"regular, adapting firing",Vip+/Cck+ basket cells (Tasic 2018),none
Sncg-MET-2,"bitufted dendrites, sparse, descending axon",L1 and L2/3,irregular spiking; very high input resistances,Vip+/Cck+ basket cells (Tasic 2018),none
Sncg-MET-3,"Large, multi-polar dendrites",L5,irregular spiking,Vip+/Cck+ basket cells (Tasic 2018),none
